GDPR,,,,gdpr_button1,禁用我的数据,禁用我的数据,Delete My Data,Delete My Data,Delete My Data,Delete My Data,Delete My Data,Delete My Data,Delete My Data,Delete My Data,Delete My Data,Delete My Data,Verimi sil,Delete My Data,,
,,,,gdpr_button2,禁用我的信息,禁用我的信息,Don't Collect My Data,Don't Collect My Data,Don't Collect My Data,Don't Collect My Data,Don't Collect My Data,Don't Collect My Data,Don't Collect My Data,Don't Collect My Data,Don't Collect My Data,Don't Collect My Data,Verimi toplama,Don't Collect My Data,,
,,,,gdpr_button3,同意,同意,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,Kabul et,AGREE,,
,,,,gdpr_button4,关于,关于,ABOUT,Acerca de,Об,Sobre,Über,ABOUT,ABOUT,À propos de,Su,ABOUT,Hakkında,Tentang,,
,,,,gdpr_button5,用户协议,用户协议,Terms of Service,Terms of Service,Terms of Service,Terms of Service,Terms of Service,Terms of Service,Terms of Service,Terms of Service,Terms of Service,Terms of Service,Terms of Service,Terms of Service,,
,,,,gdpr_button_title1,基于您的兴趣推荐广告,基于您的兴趣推荐广告,Opt out of interest-based ads,Opt out of interest-based ads,Opt out of interest-based ads,Opt out of interest-based ads,Opt out of interest-based ads,Opt out of interest-based ads,Opt out of interest-based ads,Opt out of interest-based ads,Opt out of interest-based ads,Opt out of interest-based ads,Reklamları temizle,Opt out of interest-based ads,,
,,,,gdpr_button_title2,条款更新通知,条款更新通知,Stay Informed,Stay Informed,Stay Informed,Stay Informed,Stay Informed,Stay Informed,Stay Informed,Stay Informed,Stay Informed,Stay Informed,Bilgilendir,Stay Informed,,
,,,,gdpr_button_title3,关于隐私保护,关于隐私保护,We Protect Your Privacy,We Protect Your Privacy,We Protect Your Privacy,We Protect Your Privacy,We Protect Your Privacy,We Protect Your Privacy,We Protect Your Privacy,We Protect Your Privacy,We Protect Your Privacy,We Protect Your Privacy,Gizliliğinizi Koruyoruz,We Protect Your Privacy,,
,,,,gdpr_button_tips1,通知应用不再使用您的广告ID，进行个性化广告推送。关闭该功能后，你会继续游戏并且观看广告，但是不会基于您的兴趣推荐广告。需要注意的是：如果你选择关闭该功能，需要手动重启游戏生效。重启游戏后您的游戏进度以及设置信息可能会丢失。确定“重启游戏”不接受个性化广告推送吗？,通知应用不再使用您的广告ID，进行个性化广告推送。关闭该功能后，你会继续游戏并且观看广告，但是不会基于您的兴趣推荐广告。需要注意的是：如果你选择关闭该功能，需要手动重启游戏生效。重启游戏后您的游戏进度以及设置信息可能会丢失。确定“重启游戏”不接受个性化广告推送吗？,"No more customized ads will be sent to you using your ad ID. With this feature turned off, you will continue to game and watch ads, but those ads are not placed based on your interest.Note that you have to manually restart the game to turn off this feature. restart might cause you to lose your game progress and settings.Are you sure to opt out of interest-based ads? ","La mini aplicación Aviso no utilizará tu ID de anuncio para enviarte anuncios. después de cerrar la misma función, podrás seguir el juego y ver anuncios, pero no basados en tus intereses.Lo que deberías darte cuenta es que si elijes cerrar la misma función, te hará falta reiniciar para reactivar por ti. después de la reactivación, posiblemente se puedan perder tus progresos y configuraciones del juego.¿Confirmas ""Reiniciar juego” para no aceptar el aviso de anuncios personalizados?","На ваш ID аккаунт больше не будут отправлены рекламы на основе ваших интересов. Когда эта функция отключена, вы будете продолжать играть и смотреть рекламу, но выбранные рекламы не будут соответствовать вашим интересам.Обратите внимание, что если вы решите отключить эту функцию, вам необходимо вручную перезапустить игру, перезапуск может привести к потере игрового процесса и настроек.Вы уверены, что хотите «Перезапустить игру» и отказаться от рекламы на основе ваших интересов?","No more customized ads will be sent to you using your ad ID. With this feature turned off, you will continue to game and watch ads, but those ads are not placed based on your interest.Note that you have to manually restart the game to turn off this feature. restart might cause you to lose your game progress and settings.Are you sure to opt out of interest-based ads? ","Mit Ihrer Anzeigen-ID werden keine weiteren benutzerdefinierten Anzeigen an Sie gesendet. Wenn diese Funktion deaktiviert ist, werden Sie weiterhin Anzeigen für Spiele und Spiele schalten. Diese Anzeigen werden jedoch nicht basierend auf Ihren Interessen platziert.Beachten Sie, dass Sie das Spiel manuell neu starten müssen, um diese Funktion zu deaktivieren. Neustart kann dazu führen, dass Sie den Spielfortschritt und die Einstellungen verlieren.Sind Sie sicher, das Spiel neu zu starten und interessenbezogene Werbung zu deaktivieren? ","더 이상 광고 ID를 사용하여 사용자 정의 광고를 전송하지 않습니다. 이 기능을 끄면 게임을 계속하고 관심 기반이 아닌 광고를 보게 됩니다.이 기능을 끄려면 수동으로 게임을 다시 시작해야 합니다. 다시 시작하면 게임 진도 및 설정이 초기화될 수 있습니다.""게임 다시 시작"" 하고 관심 기반 광고를 취소하시겠습니까?""","No more customized ads will be sent to you using your ad ID. With this feature turned off, you will continue to game and watch ads, but those ads are not placed based on your interest.Note that you have to manually restart the game to turn off this feature. restart might cause you to lose your game progress and settings.Are you sure to opt out of interest-based ads? ","Aucune annonce personnalisée ne vous sera envoyée en utilisant votre identifiant d'annonce. Lorsque cette fonctionnalité est désactivée, vous continuez à jouer et à diffuser des annonces, mais ces annonces ne sont plus diffusées en fonction de votre intérêt.Notez que vous devez redémarrer manuellement le jeu pour désactiver cette fonctionnalité. Le redémarrage peut vous faire perdre la progression et les paramètres du jeu.Êtes-vous sûr de ""redémarrer le jeu"" et de désactiver les annonces basées sur vos intérêt?","Non verranno più inviate pubblicità personalizzate utilizzando il tuo ID pubblicità . Con questa funzione disattivata, continuerai a giocare e a guardare le pubblicità, ma quelle pubblicità non vengono posizionate in base ai tuoi interessi.Nota bene che è necessario riavviare manualmente il gioco per disattivare questa funzione. il riavvio potrebbe far perdere i progressi e le impostazioni del gioco.Sei sicuro/a di ""riavviare il gioco"" e disattivare le pubblicità basate sugli interessi? ","No more customized ads will be sent to you using your ad ID. With this feature turned off, you will continue to game and watch ads, but those ads are not placed based on your interest.Note that you have to manually restart the game to turn off this feature. restart might cause you to lose your game progress and settings.Are you sure to opt out of interest-based ads? ","No more customized ads will be sent to you using your ad ID. With this feature turned off, you will continue to game and watch ads, but those ads are not placed based on your interest.Note that you have to manually restart the game to turn off this feature.restart might cause you to lose your game progress and settings.Are you sure to opt out of interest-based ads? ","Tak ada lagi iklan custom akan dikirim kepada anda dengan menggunakan ID iklan Anda.setelah tutup fungsi ini,anda bisa melanjutkan game dan nonton iklan,tetapi mungkin bukan iklan yang anda bernimat.Hati-hati:Kalo anda tutup fungsi ini, harus restart game secara manual baru berlaku.mungkin kemajuan game dan informasi pengaturan anda akan hilang setelah restart game,Apakh yakin “restart game”dan tak menerima iklan yang didorang berdasarkan minat？",,
星之旅,,,,journey_activity_title1,世界民谣,世界民謠,World Folk,Baladas mundiales,Мировой фольклор,Balada do mundo,Volksreime,세계 민요,世界民謡,Ballade du monde,Musica folk mondiale,أغاني شعبية عالمية,Ulusal Halk Müziği,Lagu Rakyat Dunia,,
,,,,journey_activity_title2,古典主义,古典主義,Classicism,Clasicismo,Классика,Classicismo,Klassik,고전주의,古典主義,Classicisme,Classicismo,كلاسيكي,Klasisizm,Klasisisme,,
,,,,journey_activity_title3,流行之星,流行之星,Pop Star,Estrella de Pop,Звезда путешественника,Estrela popular,Populärer Stern,유행의 별,流行の星,Hit Pop,Pop Star,نجوم مشهورون,Pop Yıldızı,Bintang Populer,,
,,,,journey_activity_text1,本期主题:,本期主題:,Current Theme:,Tema de esta fase:,Тема:,Tema deste evento:,Thema:,이번 주제:,今回のテーマ：,Thème :,Tema di oggi:,الموضوع:,Güncel Konu,Tema kali ini:,,
,,,,journey_activity_text2,活动开始啦！快来看看本期为您准备的歌单吧！,活動開始啦！快來看看本期為您準備的歌單吧！,Event is coming! Just come and see the playlist we prepared!,Se empieza la actividad! Ven a ver el album preparado para tí!,Мероприятие начинается! Скорее посмотрите песни. которые мы приготовили!,O evento começou! Venha conferir a lista de músicas que te preparamos para este evento!,Die Aktivität beginnt schon! Jetzt deine neue Song-Liste probieren!,이벤트 오픈! 새로 준비된 곡을 만나보세요!,イベントが始まりました！今回のミュージックリストを確認しましょう！,Evénement ! Venez voir le playlist !,L'evento è iniziato! Vieni a vedere la lista dei brani preparata per te in questo periodo!,تم انطلاق الفعالية! تعالى إلى رؤية قائمة الأغاني هذه المرة!,Etkinlik başladı! Gel ve sizin için hazırlanmış süresel şarkı listesine bakalım!,Event memulai！Cepat lihat daftar musik yg tersedia untuk Anda,,
,,,,journey_revival_text1,哎呀！你还需要获得%1$d分哦~,哎呀！你還需要獲得%1$d分哦~,oops! You still need %1$d score.,Oye! Necesitas %1$d puntos más,Ой. вам нужно брать еще %1$d балла(-ов),Epa! Ainda precisa de ganhar %1$d pontos!,Ach! Du brauchst noch %1$d Punkte.,%1$d점이 더 필요합니다,もう少し！あと%1$dスコア！,Oops ! Il vous manque de %1$d score.,Oops! Devi anche ottenere %1$d punti.,آسف! تحتاج إلى %1$d نقطة,Uff! Yine %1$d puan alınması gerekir~,Aduh！Masih perlu %1$d skor,,
,,,,journey_revival_text2,现在放弃就会失去门票！,現在放棄就會失去門票！,If you give up now. you will lose the ticket!,Va a perder la entreda si lo deja ahorita!,Отказ приведёт к потере билета!,Se você desistir agora vai perder o ingresso do evento!,Wenn du jetzt aufgibst. wirst du Eintrittskarte nicht bekommen!,지금 포기하면 입장권을 놓지게 됩니다!,リタイアすると入場券を失います！,Si vous renoncez maintenant. vous perdrez le ticket !,Perderai i biglietti se rinunci ora!,ستفقد التذكرة إذا تترك الآن!,Şimdi vazgeçerseniz biletleri kaybedecek!,Menyerah sekarang akan kehilangan tiket,,
,,,,journey_revival_text3,如果现在放弃，你需要在时间恢复后，从关卡1挑战哦！,如果現在放棄，你需要在時間恢復後，從關卡1挑戰哦！,If you give up now. you have to restart from level 1 after renewal of time!,Va a necesitar tiempo para recuperar y empezar de nivel 1 si lo deja ahorita!,Если вы садитесь сейчас. то понадобится время на восстановление. после чего придётся начать с первого уровня!,Se você desistir agora. precisa de começar de novo desde o nível 1 após a recuperação do tempo.,Wenn du jetzt aufgibst. musst du nach der Erholung wieder vom Level 1 beginnen!,지금 포기하면 시간이 회복되고 레벨1부터 다시 시작해야 됩니다!,今リタイアすると最初のステージからチャレンジすることになります！,Si vous renoncez maintenant. il faut recommencer à partir du niveau 1 après rechargement du temps !,Se rinunci ora. devi sfidare dal primo livello dopo che il tempo è stato ripristinato!,من الضروري أن تبدأ من المستوى الأول بعد وقت إذا تترك الآن!,Şimdi vazgeçerseniz zaman geri yüklendikten sonra 1. seviyeden başlamalısın!,,,
,,,,journey_revival_text4,集满3张门票才可挑战哦！,集滿3張門票才可挑戰哦！,Collect 3 tickets to get the challenge!,Desafíalo con tres entredas coleccionadas!,Соберите три билета. чтобы играть!,É preciso coletar todos 3 ingressos de entrada para desafiar!,Mit drei Eintrittskarten kann man herausfordern!,입장권 3장을 모으고 도전하세요!,3枚のチケットを集めてチャレンジしましょう！,Il vous faut 3 tickets pour faire le défi !,Servono 3 biglietti per sfidare!,يمكنك المشاركة في التحدية بعد جمع 3 تذاكر,Meydan okumaya başlamak için 3 bilet alınması gerekir!,Kumpulkan 3 tiket baru bisa menanta,,
,,,,journey_revival_text5,获得%1$d个复活道具,獲得%1$d個復活道具,Obtain %1$d revival props,conseguir %1$d props de reviviencia,Получение %1$d реквизита(-ов) возрождения,Obter %1$d itens de reviver,%1$d Requisiten zum Wiederbeleben geholt,%1$d개의 부활 아이템 획득,復活アイテム %1$d個 獲得,%1$d outils de resurrection gagnés,Ottieni %1$d oggetti di resurrezione,الحصول على %1$d صندوق إحياء,%1$d Diriliş Aracı Alın,Dapatkan %1$d tools hidup kembali,,
,,,,journey_revival_text6,购买门票即可开启活动！,購買門票即可開啟活動,Buy tickets to open the event!,Empieza la actividad con la compra de entrada!,Купите билет и начните игру!,Belikan tiket bisa langsung buka event,Wenn man Ticket kauft. kann man dann an der Aktivität teilnehmen!,티켓 구매 시 이벤트 즉시 오픈,チケットを購入してイベントに参加！,Acheter les tickets pour commencer l'événement !,Acquista i biglietti per attivare l'evento!,شراء التذكرة لبدء الفعالية,Etkinliği açmak için şimdi bilet satın alın!,Belikan tiket bisa langsung buka event,,
,,,,journey_revival_text7,新的门票：,新的門票：,New tickets:,Nueva entreda,Новый билет:,Tiket baru:,Neues Ticket:,신규 티켓:,新しいチケット：,Nouveau ticket :,Nuovi biglietti:,التذكرة الجديدة,Yeni bilet:,Tiket baru:,,
,,,,journey_stage_text1,点亮关卡星星,點亮關卡星星,Light the star of level,Iluminar la estrella de niveles,Нажмите на звезду уровня,Iluminar as estrelas dos níveis,Level-Stern beleuchten,레벨의 별을 밝혀주세요,ステージをアクティベート,Allumer les étoiles de niveaux,Accendi il livello delle stelle,إضاءة نجوم المستوى,Seviye yıldızlarını aydınlatın,Terangkan bintang tingkat,,
,,,,journey_stage_text2,复活箱礼包,復活箱禮包,Reviving  box,Paquete de revivencia,Сундук возрождения,Pacote da caixa de reviver,Wiederbelebensbox,부활 박스 팩,復活プレゼント,Bonus de resurrection,La scatola di risurrezione,حزمة الهدية للإحياء,Diriliş kutusu paketi,Paket Hidup Kembali,,
,,,,journey_stage_text3,关卡 %1$d,關卡 %1$d,Level %1$d,Nivel %1$d,Уровень %1$d,Nível %1$d,Level %1$d,레벨%1$d,ステージ%1$d,NIveau %1$d,livello %1$d,مستوى %1$d,Seviye %1$d,Level %1$d,,
,,,,journey_stage_rule,游戏开始时为你准备%1$d张门票，挑战关卡失败时扣除1张门票。完成关卡目标时解锁下一关，达到指定关卡时获得奖励。门票全部消耗或者通过所有关卡，本轮游戏结束。,遊戲開始時為你準備%1$d張門票，挑戰關卡失敗時扣除1張門票。完成關卡目標時解鎖下一關，達到指定關卡時獲得獎勵。門票全部消耗或者通過所有關卡，本輪遊戲結束。,We prepare %1$d tickets in the beginning. 1 failure of challenge costs 1 ticket. Reach the target to unlock the next level and get bonus in certain level. If you finish all the levels or use up your tickets. game over.,Te preparan %1$d entredas al principio del juego. y se deducirá una si fallas el desafío. Desbloquean el siguiente nivel cuando completes el objetivo de nivel. Ganas una premio cuando alcances el nivel especificado. Esta ronda del juego termina cuando todas las entradas consumes o pasas todos los niveles.,Во время начала игры у вас есть %1$d билета. при проигрыше на уровне вы лишаетесь 1 билета. После прохождения уровня открывается следующий уровень. выполните задание и получите награду. Игра заканчивается после прохождения всех уровней или при потере всех билетов.,No início do jogo. preparamos %1$d ingressos de entrada do evento. Quando falhar em desafiar o nível. será reduzido 1 ingresso. Quando passar um nível. o próximo nível será desbloqueado. Irá ganhar recompensas quando conseguir alcançar o nível determinado. Um rodada de jogos terminará quando todos os ingressos são usados ou consegue passar todos os níveis.,Anfang dieser Aktivität hast du %1$d Eintrittskarten. Wenn die Herausforderung scheitert. wird eine Karte abgezogen. Wenn das Levelziel erreicht wird. kann man das nächste Level freischalten. Beim Erreichen des bestimmten Levels erhält man Belohnungen. Wenn alle Karten gänzlich verbraucht sind oder man alle Level erreicht hat. geht diese Aktivität zu Ende.,게임 시작 시 입장권 %1$d장을 드립니다. 도전 실패 시 입장권 한장 소모하게 됩니다.레벨 목표 완성 시 다음 레벨 잠금 해제되며 지정된 레벨에 달성 시 보너스 드립니다. 입장권 전부 소모 혹은 레벨 완성 시 게임 종료하게 됩니다.,ゲーム開始時に%1$d枚のチケットをご用意いたします。チャレンジ失敗すると１枚を失います。ステージクリアすると次のステージがアンロックされます。指定のステージをクリアするとボーナスを獲得できます。チケットがなくなるか、またはステージを全クリアすると終了します。,Vous aurez %1$d tickets au début. Une défaite de défi vous coûte un ticket. Finissez le niveau pour en débloquer le prochain. Des prix vous attendent à certain niveau. Après avoir fini tous les niveaux ou avoir perdu tous les tickets. le jeu se termine.,%1$d biglietti saranno preparati per te all'inizio del gioco e 1 biglietto verrà detratto se la sfida fallisce. Sblocca il livello successivo quando completi l'obiettivo di livello e ottieni una ricompensa quando raggiungi il livello specificato. Questo round del gioco finisce quando tutti i biglietti sono consumati o tutti i livelli sono passati. .,لديك %1$d تذاكر في بداية الللعبة، ستفقد تذكرة واحدة إذا تفشل في المستوى. وبعد إكمال المستوى، ستفتح المستوى القادم، وتحصل على المكافأة الخاصة بعد إكمال المستوى المعين. ستنتهي هذه الدورة من اللعبة إذا تستخدم جميع التذاكر أو إكمال جميع المستويات.,Oyunun başında %1$d bilet hazırlanacak. Meydan okumasında başarısızlık durumunda 1 bilet tüketilir. Seviye hedefini tamamladığınızda sonraki seviye kilidi açılacak ve belirtilen seviyeye ulaştığınızda ödül kazanılacak. Tüm biletler tüketilirse veya seviyelere geçerseniz bu sefer bitecek.,Tersedia %1$d tiket untuck Anda sebelum game mulai.Gagal menantang tingkat akan kurangi 1 tiket.Mencapai tingkat tertentu mendapatkan hadiah.Habiskan semua tiket atau selesai semua tingkat.game ronde ini selesai.,,
世界杯,,,,fail_tips,失败,失敗,Fail,Fallido,недостаточность,Falhou,Fehlgeschlagen,실패,失敗,Échec,fallimento,فشل,başarısızlık,Gagal,,
,开屏页,,,worldcup_activity_title1,世界杯来了！点击PLAY即获三张活动门票，来创造你的得分吧！,世界盃來了！點擊PLAY即獲三張活動門票，來創造你的得分吧！,World Cup is here! Click on PLAY to get 3 tickets and create your own scores and records!,Ya Viene la Copa Mundial! Clic PLAY para conseguir tres entredas de actividades y crea tus puntos!,Чемпионат мира в разгаре! Нажмите PLAY. чтобы получить 3 билета. создайте свой счёт!,Chegou a Copa do Mundo! Clique JOGAR para obter 3 ingressos de entrada!  Vem desafiar o seu melhor recorde!,Zeit für Weltmeisterschaft! Durch Klicken auf PLAY kannst du drei Tickets erhalten. damit du deinen neuen Rekord drücken kannst!,월드컵이 왔어요!PLAY 탭하면 바로 이벤트 입장권 획득 가능.득점 만들어 보세요!,ワールドカップがやってきた！PLAYするとチケット３枚をゲットして、スコアを取りましょう！,La Coupe du Monde est venue ! Cliquer sur PLAY pour gagner 3 tickets et créer vos records !,La Coppa del Mondo è arrivata! Clicca su GIOCA per ottenere 3 biglietti. vieni a creare il tuo punteggio!,حان وقت قكأس العالم لكرة القدم! اضغط زر PLAY للحصول على ثلاث تذاكر فعالية، فتعالى إلى خلق النقطات الخاصة بك!,Dünya Kupası artık geliyor! Puanınızı oluşturmak için 3 bilet al ve PLAY tıklayın!,World Cup datang!Klik PLAY langsung dapatkan 3 tiket event.ciptakan skor Anda!,,
,活动页说明,,,worldcup_activity_title2,开启属于你的足球之旅！,世界盃來了！,World Cup is here!,Ya Viene la Copa Mundial! ,Чемпионат мира в разгаре!,Chegou a Copa do Mundo! ,Zeit für Weltmeisterschaft!,월드컵이 왔어요!,ワールドカップがやってきた！,La Coupe du Monde est venue !,La Coppa del Mondo è arrivata!,حان وقت كأس العالم لكرة القدم!,Dünya Kupası geliyor!,World Cup datang!,,
,盘面主题,,,Disc_name20,世界杯来了！,世界盃來了！,World Cup is here!,Ya Viene la Copa Mundial! ,Чемпионат мира в разгаре!,Chegou a Copa do Mundo! ,Zeit für Weltmeisterschaft!,월드컵이 왔어요!,ワールドカップがやってきた！,La Coupe du Monde est venue !,La Coppa del Mondo è arrivata!,حان وقت كأس العالم لكرة القدم!,Dünya Kupası geliyor!,World Cup datang!,,
,盘面说明,,,worldcup_invite_cover,世界杯主题盘面，挥洒热血，传递快乐！,世界盃主題盤面，揮灑熱血，傳遞快樂！,World Cup disk. exciting and inspiring with plenty pleasure!,Disco del tema de Copa Mundial. libera la pasión y pasa la felicidad!,Диск в честь Чемпионата мира. веселье в вашей игре!,Disco da Copa do Mundo.  Dedique-se a esportes e espalhe a felicidade para o mundo.,Platte für Weltmeisterschaft! Dein Spiel in Piano Tiles 2 genießen!,월드컵 테마 배경. 온갖 열정으로 즐거움을 전달해보세요!,ワールドカップテーマ、汗を流して、パッピーを伝えよう！,Disque de la Coupe du Monde. chaud et accueillant. qui distribue la joie !,Disco a tema Coppa del Mondo. sangue ondeggiante passando la felicità!,تم إصدار القرص المضغوط لكأس العالم لكرة القدم!,Dünya Kupası konulu panel ile mutluluğu paylaşalım! ,Halaman Tema World Cup.curahkan darah.sebarkan kegembiraan,,
despacito,盘面,,,Desp_invite_cover,缓缓，来解锁西班牙神曲的热情浪漫！,緩緩，來解鎖西班牙神曲的熱情浪漫！,Take your time and come to release the romantic and passionate Spanish hit!,Desbloquea el calor y romantico de la cancion española !,Разблокируй самую танцевальную латинскую песню!,Calma! Vem desbloquear a música espanhola emocionante e romântica!,Jetzt ein schönes Lied aus Spanien freischalten!,열정적이고 로맨틱한 스페인 음악을 해금해보세요! ,やっほー、スペインのロマンソングをアンロックしよう！,Prenez du temps et débloquez le hit espagnol très chaleureux et romantique !,Despacito. per sbloccare la passione e il romanticismo della Divina Commedia spagnola!,تعالى إلى التمتع بالرومانسية والحماسة للأغنية الأسبانية!,Bir dakika. İspanyolca şarkıların tutkusunu ve romantizmini kilidi açın!,Tunggu sebentar.buka kunci lagu istimewa Spanyol yg ceria dan romantik,,
,,,,Disc_name21,Despacito,Despacito,Despacito,Despacito,Despacito,Despacito,Despacito,Despacito,Despacito,Despacito,Despacito,Despacito,Despacito,Despacito,,
,任务,,,Desp_task_text1,累计消耗复活箱%1$d个,累計消耗復活箱%1$d個,%1$d revival boxes used totally,Consume %1$d paquetes de reviviencia acumulados,Используйте %1$d сундуков возрождения,Já usou %1$d caixas de reviver,Insgesamt %1$d Wiederbelebensboxen benutzt,부활 박스%1$d개 누적 소모,復活ボックス累計使用数%1$d個,%1$d boîtes de résurrection utilisées au total,Consumo accumulato di %1$d casse di risurrezione,إجمالي استهلاك %1$d صناديق الإحياء,Diriliş kutusunun birikmiş tüketimi. %1$d,Akumulasi pakai box revive %1$d,,
,,,,Desp_task_text2,累计收集%1$d个星星,累計收集%1$d個星星,%1$d stars collected totally,Colecciona %1$d estrellas acumuladas,Соберите %1$d звезд,Já coletou %1$d estrelas,Insgesamt %1$d Sterne gesammelt,%1$d개의 별 누적 수집,スター累計収集数%1$d個,%1$d étoiles collectées au total,Raccolta accumulata di %1$d stelle,إجمالي جمع %1$d نجوم,Toplanmış yıldız %1$d,Akumulasi kumpulkan bintang %1$d,,
,,,,Desp_task_text3,完成星之旅活动第%1$d关,完成星之旅活動第%1$d關,The %1$d level of star journey finished,Llega el nivel %1$d de la actividad de viaje de estrella,Выполните задание на %1$d уровне в мероприятии Звездный путь,Completou %1$d níveis no evento da Viagem de Estrelas,Bereits %1$d Level der Sternreise durchgespielt,별의 여행 이벤트 %1$d레벨 도전 성공,スタートリップイベントステージ%1$dをクリア,Le niveau %1$d fini dans l'événement du voyage d'étoiles,%1$d livello dell'evento Star Tour completato,إكمال مرحلة %1$d لفعالية رحلة النجوم,Yıldız Turu etkinliğini Seviye %1$d tamamlandı,Selesaikan event perjalanan bintang level ke-%1$d,,
,,,,Desp_task_text4,挑战Remix版本到%1$d分,挑戰Remix版本到%1$d分,Challenge Remix version and get %1$d scores,desafía la edición Remix hasta %1$d puntos,Играйте в Remix до %1$d баллов,Desafie a versão Remix até alcança %1$d pontos,Remix-Version bis %1$d Punkte herausfordern,Remix버전 %1$d점 도전 성공,Remix版を%1$d点チャレンジ,Essayer la version Remix et gagner %1$d notes,Sfida la versione Remix a %1$d punti,تحدي نسخة Remix للوصول إلى %1$d نقطة,Remix sürümünde %1$d puan alınması,Tantang versi Remix sampai skor %1$d,,
,任务卡规则,,,Desp_task_tips1,挑战任务，收集歌曲碎片，达到指定数量即可解锁游戏内(Despacito、Faded)等超人气歌曲。,挑戰任務，收集歌曲碎片，達到指定數量即可解鎖遊戲內(Despacito、Faded)等超人氣歌曲。,Finish the task. collect fragments to a certain amount to unlock the hits in the game like Despacito and Faded.,Desbloquea las canciones superpopulars (Despacito、Faded) si completa el desafio y coleciona los fragmentos de canciones.,Выполните задание. соберите осколки песен. наберите нужное количество и разблокируйте популярные песни Despasito. Faded и др.,Desafie a missão. colete peças das músicas e pode desbloquear músicas populares como Despacito e Faded no jogo quando consegue coletar um determinado quantidade das peças.,Herausfordern und Liedpuzzle sammeln. Mit bestimmten Zahlen kann man populäre Lieder wie Despacito. Faded usw. freischalten.,퀘스트 도전하여 음악 조각을 수집하여 지정된 수량 달성 시 게임내의 (Despacito、Faded)등 히트 음악 해금 가능.,ミッションに挑戦、歌のかけらを集めて、超人気ソング(Despacito、Fadedなど)をアンロックしよう！,Finir la mission. collecter un certain nombre de pièces pour débloquer les hits au jeu comme Despacito et Faded.,Sfida la missione. raccogli pezzi di canzoni e raggiungi il numero specificato per sbloccare canzoni super popolari come Despacito. Faded.,تحدي المهمة وجمع قطع الأغنية لفتح الأغاني المشهورة في اللعبة مثل Despacito、Faded,Despacito. Faded gibi süper popüler şarkıları açmak için misyona meydan okuyun. belirtilen numaraya ulaşın.,Misi tantangan.kumpulkan penggalan lagu.sampai jumlah tertentu dapat buka kunci lagu super hot seperti Despacito dan Faded,,
,,,,Desp_card_tips2,需要先解锁Remix版本,需要先解鎖Remix版本,Unlock Remix version first,Necesita desbloquear la edición Remix,Сначала разблокируйте Remix версию.,É preciso liberar primeiro a versão Remix,Man soll Remix-Version vorher freischalten,Remix버전 해금 필요,先にRemix版をアンロックしてください,Débloquer la version Remix d'abord,Devi prima sbloccare la versione Remix,من الضروري فتح نسخة Remix أولا,Önce Remix versiyonunun kilidini açmanız gerekiyor,Harus buka kunci versi Remix,,
,碎片卡,,,Desp_obtained_text1,歌曲碎片,歌曲碎片,Song Fragments,Pieza de musica,Осколки песни,Peças da música,Liedpuzzle,음악 조각,歌のかけら,Pièces de morceaux,Pezzi di canzoni,قطع الأغنية,Şarkı parçalanması,Penggalan lagu,,
,,,,Desp_obtained_text2,已有:,已有:,Collected:,Ya tiene:,Собрано:,Jà tem:,Bereits vorhanden:,이미 보유:,所有：,Collectés :,Hai già:,لديك,Mevcut olan:,Tersedia:,,
,结果页提示,,,Desp_revival_tips,购买%1$d个碎片解锁完整版？,購買%1$d個碎片解鎖完整版？,Buy %1$d fragments to unlock the whole version?,¿Compra %1$d fragmentos para desbloquear la edición completa?,Купить %1$d осколков. чтобы получить полную версию?,Comprar %1$d peças para desbloquear a versão completa?,Willst du %1$d Puzzle kaufen. um das originale Lied freizuschalten?,%1$d개의 조각을 구매하여 완전판을 해금?,かけら%1$d個を購入してフルバージョンをアンロック？,Acheter %1$d pièces pour débloquer la version entière ?,Acquista %1$d pezzi per sbloccare la versione completa?,شراء %1$d قطعة لفتح الأغنية الكاملة؟,Tüm sürüm kilidi açmak için %1$d parça alın？,Beli penggalan %1$d dapat buka kunci yg seluruh,,
,,,,Desp_task_button,兑换,兌換,Exchange,cambiar,Обменять,Trocar,umtauschen,환전,引き換え,Echanger,Scambia,التبديل,Takas et,Tukarkan,,
,,,,Desp_task_tips2,收集碎片，解锁拉美神曲！,收集碎片，解鎖拉丁神曲！,Collect fragments to unlock the Latin hit!,Colecciona las piezas y desbloquea musicas latinas!,Соберите осколки. разблокируйте латинскую песню!,Colete as peças e desbloqueia a música latina popular!,Sammle Puzzle. um lateinisches Lied freizuschalten!,조각을 수집하여 라틴 음악 해금하세요!,かけらを集めて、ラテンの名曲をアンロック！,Collecter les pièces pour débloquer le hit latin !,Raccogli i pezzo e sblocca la Divina commedia latina!,جمع القطع لفتح الأغنية اللاتينية السحرية!,Parçaları toplayın ve Latin şarkısı kilidini açın!,Kumpulkan penggalan.buka kunci lagu spesial Latin,,
